stID	tsID	popID	filename	description	citation	URL	total_N	steps	interval_MY	trait_type	log_transformed	taxa	species	microfossil	sampling	age_model	sediment	environment	period_start	period_end	epoch_start	epoch_end	age_start	age_end	source	publication_year	signature	lat	lon	set
78	493	78_a	Kucera_and_Widmark_2000_globul	Parkiella angulocamerata/globocamerata. square root of shell area divided by the maximum height of the shell, measured in side view (shell globularity). Core 171.	Kucera, M., and J. G. V. Widmark. 2000. Gradual morphological evolution in a late Cretaceous deep-sea benthic foraminiferan, Parkiella. Historical Biology 14:205-228.	https://doi.org/10.1080/10292380009380569	171	15	10.2	ratio	no	foraminifer	Parkiella_angulocamerata.globocamerata	yes	sediment core	NA	carbonate	marine	Cretaceous	Cretaceous	Upper-Cretaceous	Upper-Cretaceous	Campanian	Maastrichtian	HuntDB	2000	unknown	19.131667	-169.460002	yes
78	492	78_a	Kucera_and_Widmark_2000_height	Parkiella angulocamerata/globocamerata, shell height. Core 171 (NB: not included in original paper)	Kucera, M., and J. G. V. Widmark. 2000. Gradual morphological evolution in a late Cretaceous deep-sea benthic foraminiferan, Parkiella. Historical Biology 14:205-228.	https://doi.org/10.1080/10292380009380569	270	17	10.2	linear	no	foraminifer	Parkiella_angulocamerata.globocamerata	yes	sediment core	NA	carbonate	marine	Cretaceous	Cretaceous	Upper-Cretaceous	Upper-Cretaceous	Campanian	Maastrichtian	HuntDB	2000	unknown	19.131667	-169.460002	yes
78	491	78_a	Kucera_and_Widmark_2000_logsize	Parkiella angulocamerata/globocamerata. Logarithm of sprial outline area, um^2 (logsize). Core 171.	Kucera, M., and J. G. V. Widmark. 2000. Gradual morphological evolution in a late Cretaceous deep-sea benthic foraminiferan, Parkiella. Historical Biology 14:205-228.	https://doi.org/10.1080/10292380009380569	260	17	10.2	area	yes	foraminifer	Parkiella_angulocamerata-globocamerata	yes	sediment core	NA	carbonate	marine	Cretaceous	Cretaceous	Upper-Cretaceous	Upper-Cretaceous	Campanian	Maastrichtian	HuntDB	2000	unknown	19.131667	-169.460002	yes
78	490	78_b	Kucera_chamber_angle	 Parkiella angulocamerata-globocamerata	Kucera, M., and J. G. V. Widmark. 2000. Gradual morphological evolution in a late Cretaceous deep-sea benthic foraminiferan, Parkiella. Historical Biology 14:205-228.	https://doi.org/10.1080/10292380009380569	206	16	10.2	angle	no	foraminifer	Parkiella_angulocamerata-globocamerata	yes	sediment core	NA	carbonate	marine	Cretaceous	Cretaceous	Upper-Cretaceous	Upper-Cretaceous	Campanian	Maastrichtian	HuntDB	2000	MFA	19.131667	-169.460002	yes
78	489	78_b	Kucera_umb_angle	 Parkiella angulocamerata-globocamerata, umberella angle (defined as the angle between the same spines in side view)	Kucera, M., and J. G. V. Widmark. 2000. Gradual morphological evolution in a late Cretaceous deep-sea benthic foraminiferan, Parkiella. Historical Biology 14:205-228.	https://doi.org/10.1080/10292380009380569	226	17	10.2	angle	no	foraminifer	Parkiella_angulocamerata-globocamerata	yes	sediment core	NA	carbonate	marine	Cretaceous	Cretaceous	Upper-Cretaceous	Upper-Cretaceous	Campanian	Maastrichtian	HuntDB	2000	MFA	19.131667	-169.460002	yes
77	488	77_a	Lagland_1990_Maximum_internal_diameter_of_the_protoconch_Lanuza	Cycloclypeus, Maximum internal diameter of the protoconch perpendicular to the medio embryonic line. Samples from Lanzua	Laaglund, H. 1990. Cycloclypeus in the Mediterranean Olicocene. Utrecht Micropaleontological Bulletins 39:170 p.	https://dspace.library.uu.nl/handle/1874/205898	703	13	4.70596978	linear	no	foraminifer	Cycloclypeus	yes	geological fieldwork	NA	carbonate	marine	Paleogene	Paleogene	Oligocene	Oligocene	Rupelian	Chattian	unknown	1990	AR	38.46569613	-0.334319085	yes
77	487	77_a	Lagland_1990_Maximum_internal_diameter_of_the_protoconchand_deuteroconch_Lanuza	Cycloclypeus, Maximum internal diameter of the protoconch and euteroconch together measured perpendicular to the medio embryonic line. Samples from Lanzua	Laaglund, H. 1990. Cycloclypeus in the Mediterranean Olicocene. Utrecht Micropaleontological Bulletins 39:170 p.	https://dspace.library.uu.nl/handle/1874/205898	704	13	4.70596978	linear	no	foraminifer	Cycloclypeus	yes	geological fieldwork	NA	carbonate	marine	Paleogene	Paleogene	Oligocene	Oligocene	Rupelian	Chattian	unknown	1990	AR	38.46569613	-0.334319085	yes
77	486	77_a	Lagland_1990_number_of_precyclic_chambers_Lanuza	Cycloclypeus, Number of precyclic chambers. Samples from Lanzua	Laaglund, H. 1990. Cycloclypeus in the Mediterranean Olicocene. Utrecht Micropaleontological Bulletins 39:170 p.	https://dspace.library.uu.nl/handle/1874/205898	501	13	4.70596978	count	no	foraminifer	Cycloclypeus	yes	geological fieldwork	NA	carbonate	marine	Paleogene	Paleogene	Oligocene	Oligocene	Rupelian	Chattian	unknown	1990	AR	38.46569613	-0.334319085	yes
76	485	76_a	Lich_1990_M1_AP	Cosomys primus.  Length of lower molar 1 (AP). NB: interval length is the maximum interval estimate from original study (164000-45000 yrs)	Lich, D. K. 1990. Cosomys primus: a case for stasis. Paleobiology 16:394-395.	http://www.jstor.org/stable/2400797	146	10	0.164	linear	no	mammal	Cosomys_primus	no	geological fieldwork	NA	siliciclastic	terrestrial	Neogene	Neogene	Pliocene	Pliocene	unknown	unknown	unknown	1990	unknown	42.78912312	-114.9462331	yes
76	484	76_a	Lich_1990_M1_PL_TRoc	Cosomys primus.  Width of the posterior loop of lower molar 1, measured in the occlusal view, mm (PL_TRoc). NB: interval length is the maximum interval estimate from original study (164000-45000 yrs)	Lich, D. K. 1990. Cosomys primus: a case for stasis. Paleobiology 16:394-395.	http://www.jstor.org/stable/2400797	145	10	0.164	linear	no	mammal	Cosomys_primus	no	geological fieldwork	NA	siliciclastic	terrestrial	Neogene	Neogene	Pliocene	Pliocene	unknown	unknown	unknown	1990	unknown	42.78912312	-114.9462331	yes
