N;trait_mean;trait_var;age_MY;tsID;age_MY_min;age_MY_max
80;0.0506905463166401;3.03402750495237e-05;0,9265;1299;0.917;0.936
5;0.0586495088528654;0.000155992189410523;1,829;1299;1.826;1.832
11;0.0536528704366489;0.000405482518779303;1,8505;1299;1.826;1.875
64;0.053652802926765;0.000206537679128203;1,966;1299;1.915;2.017
62;0.0527080560270814;0.000229828019630281;2,1895;1299;2.088;2.291
71;0.0418956257056175;0.000105138071903401;0;1300;0;0
28;0.0449762252241621;3.26094348836536e-05;0,0045;1300;0.003;0.006
15;0.0415727840436902;2.87035388360421e-05;0,399;1300;0.374;0.424
26;0.0417554403341139;1.07577000666272e-05;0,451;1300;0.424;0.478
175;0.0431651703778762;6.27678449817076e-05;0,5055;1300;0.478;0.533
113;0.0405340617853542;2.43271733979513e-05;0,548;1300;0.533;0.563
197;0.042440663510501;3.58341725248856e-05;0,6485;1300;0.621;0.676
1;0.0404431158946006;0;0,768;1300;0.761;0.775
80;0.0426990734556153;2.26405448565947e-05;0,9265;1300;0.917;0.936
5;0.0498911430487684;9.96538333774302e-05;1,829;1300;1.826;1.832
11;0.0448664809716069;0.000241592233365219;1,8505;1300;1.826;1.875
64;0.046568082280978;0.000168305598839521;1,966;1300;1.915;2.017
62;0.0454684200705093;0.000166841956289864;2,1895;1300;2.088;2.291
74;11.481772086723;0.0289547225060307;0;1301;0;0
28;11.6616727159635;0.00678177812887978;0,0045;1301;0.003;0.006
17;11.7006582434777;0.0207198437015075;0,399;1301;0.374;0.424
33;11.7571845158883;0.0171312950909478;0,451;1301;0.424;0.478
182;11.6602034041103;0.0426312180635174;0,5055;1301;0.478;0.533
135;11.5586624630585;0.0467247945067226;0,548;1301;0.533;0.563
202;11.6654182927438;0.0167253124158163;0,6485;1301;0.621;0.676
1;11.7523562569071;0;0,768;1301;0.761;0.775
94;11.6174980985617;0.0142124126910053;0,9265;1301;0.917;0.936
1;11.9240998585097;0;1,109;1301;1.104;1.114
5;11.5300599335897;0.0103926643883212;1,829;1301;1.826;1.832
14;11.4567749956082;0.0136725761265706;1,8505;1301;1.826;1.875
97;11.4238200628721;0.0143539248332859;1,966;1301;1.915;2.017
102;11.3941110612386;0.0235857018297896;2,1895;1301;2.088;2.291
1;11.4018603729033;0;2,4645;1301;2.452;2.477
74;0.414638776588776;0.00122051603023126;0;1302;0;0
28;0.452030629404414;0.000537087762896944;0,0045;1302;0.003;0.006
17;0.450864507261306;0.00148278945601486;0,399;1302;0.374;0.424
33;0.465341772178449;0.00106188600534239;0,451;1302;0.424;0.478
182;0.450649955035197;0.00192784234936291;0,5055;1302;0.478;0.533
135;0.429054428600167;0.00216556370289374;0,548;1302;0.533;0.563
202;0.445324374477367;0.000794438611787846;0,6485;1302;0.621;0.676
1;0.470902513661437;0;0,768;1302;0.761;0.775
94;0.429695013867315;0.000632240341354979;0,9265;1302;0.917;0.936
1;0.503254510611536;0;1,109;1302;1.104;1.114
5;0.413099458669913;0.000621287986406938;1,829;1302;1.826;1.832
14;0.403026515391682;0.000552398933749252;1,8505;1302;1.826;1.875
97;0.39482480006734;0.000706778726311471;1,966;1302;1.915;2.017
102;0.390990147562933;0.000906677793478004;2,1895;1302;2.088;2.291
1;0.378092266615701;0;2,4645;1302;2.452;2.477
74;0.329423164430302;0.000721412984642685;0;1303;0;0
28;0.358388012088627;0.000258486058683809;0,0045;1303;0.003;0.006
17;0.365515467261584;0.000668013887356805;0,399;1303;0.374;0.424
33;0.375633309697689;0.000568632402943407;0,451;1303;0.424;0.478
182;0.359984147712128;0.00146762122545381;0,5055;1303;0.478;0.533
135;0.341672321512561;0.00140418254028634;0,548;1303;0.533;0.563
202;0.361301780489802;0.000656666034622096;0,6485;1303;0.621;0.676
1;0.372149036861853;0;0,768;1303;0.761;0.775
94;0.352649515374479;0.000513162559289215;0,9265;1303;0.917;0.936
1;0.408261748261228;0;1,109;1303;1.104;1.114
5;0.329600995912117;0.000149432646045258;1,829;1303;1.826;1.832
14;0.320264224613831;0.000373165699481479;1,8505;1303;1.826;1.875
97;0.317519357080472;0.000350880916299204;1,966;1303;1.915;2.017
102;0.312109155530127;0.000651798375498861;2,1895;1303;2.088;2.291
1;0.313939195245909;0;2,4645;1303;2.452;2.477
74;8.68348540238146;0.0346759010517242;0;1304;0;0
28;8.77596783507314;0.0306348468852725;0,0045;1304;0.003;0.006
17;8.86761822642642;0.0328008880445201;0,399;1304;0.374;0.424
33;8.85306982168962;0.0517843310187385;0,451;1304;0.424;0.478
182;8.80290776715077;0.0401991572366939;0,5055;1304;0.478;0.533
134;8.71855911195674;0.0812355034951403;0,548;1304;0.533;0.563
202;8.68682307342285;0.0357333133505262;0,6485;1304;0.621;0.676
1;8.67247477578539;0;0,768;1304;0.761;0.775
94;8.62761858685926;0.0378869128067723;0,9265;1304;0.917;0.936
1;9.42496002634879;0;1,109;1304;1.104;1.114
5;8.5778386685676;0.0173749063382494;1,829;1304;1.826;1.832
14;8.64946661979483;0.0542714505224319;1,8505;1304;1.826;1.875
95;8.62057559525231;0.0423614054255114;1,966;1304;1.915;2.017
97;8.71369663108147;0.0551881996683222;2,1895;1304;2.088;2.291
1;8.46291339230092;0;2,4645;1304;2.452;2.477
74;0.105211990202156;0.000125160668572859;0;1305;0;0
28;0.111197987485773;0.000108324344702139;0,0045;1305;0.003;0.006
17;0.111814088331052;0.000134709350189308;0,399;1305;0.374;0.424
33;0.11072627980777;0.000287079737227152;0,451;1305;0.424;0.478
182;0.110479583093964;0.000165491592595652;0,5055;1305;0.478;0.533
134;0.10570705453708;0.0002923194998166;0,548;1305;0.533;0.563
202;0.101892555038738;0.000123194353590808;0,6485;1305;0.621;0.676
1;0.0996313781590279;0;0,768;1305;0.761;0.775
94;0.0997240814150143;0.000164421426381631;0,9265;1305;0.917;0.936
1;0.163146467565582;0;1,109;1305;1.104;1.114
5;0.0934046524852955;3.01851309165715e-05;1,829;1305;1.826;1.832
14;0.0981970169850176;0.000144902151934695;1,8505;1305;1.826;1.875
95;0.0985917136617652;0.00016969481478596;1,966;1305;1.915;2.017
97;0.104399896261062;0.000296189176386687;2,1895;1305;2.088;2.291
1;0.0886171297378313;0;2,4645;1305;2.452;2.477
74;0.0751575407886609;4.64116448064211e-05;0;1306;0;0
28;0.0774969088738774;4.69875383955718e-05;0,0045;1306;0.003;0.006
