order,family,genus,species,binomial,adult_body_mass_g,adult_head_body_len_mm,gestation_days,litter_size,litters_per_year,max_longevity_months,weaning_age_days,neonate_body_mass_g,sexual_maturity_age_days,diet_breadth,habitat_breadth,trophic_level,home_range_km2,pop_density_per_km2,geog_range_km2
Rodentia,Ctenomyidae,Ctenomys,opimus,Ctenomys opimus,327.05,213.29,60.83,2.0,1.0,,,,365.0,3,2,1,,233.87,344662.55
Rodentia,Ctenomyidae,Ctenomys,pearsoni,Ctenomys pearsoni,212.0,,,,,,,,,3,1,1,,,46304.08
Rodentia,Ctenomyidae,Ctenomys,perrensi,Ctenomys perrensi,400.0,,,,,,,,,3,1,1,,,77423.01
Rodentia,Ctenomyidae,Ctenomys,peruanus,Ctenomys peruanus,488.36,238.0,120.83,3.0,1.0,,,,365.0,3,2,1,,3720.24,55816.24
Rodentia,Ctenomyidae,Ctenomys,pontifex,Ctenomys pontifex,400.0,,,,,,,,,3,1,1,,,30540.4
Rodentia,Ctenomyidae,Ctenomys,porteousi,Ctenomys porteousi,192.4,,,,,,,,,3,1,1,,,46290.24
Rodentia,Ctenomyidae,Ctenomys,saltarius,Ctenomys saltarius,230.0,,,,,,,,,3,1,1,,,54806.9
Rodentia,Ctenomyidae,Ctenomys,sericeus,Ctenomys sericeus,400.0,,,,,,,,,3,1,1,,,237955.24
Rodentia,Ctenomyidae,Ctenomys,sociabilis,Ctenomys sociabilis,400.0,,,,,,,,,,,,,,1976.67
Rodentia,Ctenomyidae,Ctenomys,steinbachi,Ctenomys steinbachi,384.99,196.6,,,,,,,,3,2,1,,,19311.11
Rodentia,Ctenomyidae,Ctenomys,talarum,Ctenomys talarum,140.84,,102.67,4.34,1.5,36.0,34.8,8.0,213.2,4,1,1,2.0373e-05,5187.48,216393.6
Rodentia,Ctenomyidae,Ctenomys,torquatus,Ctenomys torquatus,209.49,187.0,107.0,2.5,,,,,,3,2,1,,,459331.26
Rodentia,Ctenomyidae,Ctenomys,tuconax,Ctenomys tuconax,248.99,,,,,,,,,3,1,1,,,2421.97
Rodentia,Ctenomyidae,Ctenomys,tucumanus,Ctenomys tucumanus,217.0,,,,,,,,,3,1,1,,,5165.21
Rodentia,Ctenomyidae,Ctenomys,validus,Ctenomys validus,232.6,,,,,,,,,3,1,1,,,3491.05
Rodentia,Cuniculidae,Cuniculus,paca,Cuniculus paca,8172.55,647.06,116.24,1.01,1.75,192.0,82.75,674.77,335.48,5,2,1,,48.71,12381979.8
Rodentia,Cuniculidae,Cuniculus,taczanowskii,Cuniculus taczanowskii,8999.95,,,1.0,2.0,,,,,4,2,1,,,392199.69
Carnivora,Canidae,Cuon,alpinus,Cuon alpinus,15800.0,987.74,61.5,4.3,,192.0,57.33,275.0,374.18,1,1,3,33.64,0.55,10546280.1
Pilosa,Cyclopedidae,Cyclopes,didactylus,Cyclopes didactylus,263.95,177.18,160.0,1.0,,27.6,,,,1,1,3,0.03,32.4,7292625.62
Carnivora,Herpestidae,Cynictis,penicillata,Cynictis penicillata,694.41,291.87,56.83,2.15,,182.4,41.76,,350.57,1,1,3,1.89,,2233627.48
Dermoptera,Cynocephalidae,Cynocephalus,volans,Cynocephalus volans,1250.0,379.43,62.57,1.0,,,198.5,35.79,,4,1,1,0.07,,120788.3
Carnivora,Viverridae,Cynogale,bennettii,Cynogale bennettii,4246.57,624.54,,2.3,,60.0,,,,6,2,2,,,170977.09
Chiroptera,Molossidae,Cynomops,abrasus,Cynomops abrasus,35.39,,,0.98,,,,,,1,1,3,,,10368632.82
Chiroptera,Molossidae,Cynomops,greenhalli,Cynomops greenhalli,15.87,,,0.99,,,,,,1,1,3,,,1848057.21
Chiroptera,Molossidae,Cynomops,paranus,Cynomops paranus,12.16,,,,,,,,,,,,,,11408256.94
Chiroptera,Molossidae,Cynomops,planirostris,Cynomops planirostris,12.84,,,1.0,,,,,,1,1,3,,,11408256.94
Rodentia,Sciuridae,Cynomys,gunnisoni,Cynomys gunnisoni,797.93,279.12,29.64,4.48,1.0,,36.65,,395.29,5,2,2,0.007188295,669.1,309978.76
Rodentia,Sciuridae,Cynomys,leucurus,Cynomys leucurus,963.76,307.49,30.39,5.4,1.0,,31.76,,413.84,1,2,1,0.05,546.43,269822.59
Rodentia,Sciuridae,Cynomys,ludovicianus,Cynomys ludovicianus,797.05,294.04,33.46,4.43,1.0,102.0,45.57,15.24,696.9,4,2,1,0.001787394,1830.0,1823313.42
Rodentia,Sciuridae,Cynomys,mexicanus,Cynomys mexicanus,899.98,341.09,30.41,4.18,1.0,,46.35,,,2,2,1,,,586.55
Rodentia,Sciuridae,Cynomys,parvidens,Cynomys parvidens,899.98,288.47,,4.89,1.0,,,,371.23,1,2,1,,3824.99,24425.78
Chiroptera,Pteropodidae,Cynopterus,brachyotis,Cynopterus brachyotis,33.87,,117.06,0.99,2.0,96.0,48.99,6.2,251.71,3,1,1,,,2220429.06
Chiroptera,Pteropodidae,Cynopterus,horsfieldii,Cynopterus horsfieldii,56.01,,,,,,,,,1,1,1,,,1048657.06
Chiroptera,Pteropodidae,Cynopterus,minutus,Cynopterus minutus,26.45,,,,,,,,,,,,,,1467026.28
Chiroptera,Pteropodidae,Cynopterus,sphinx,Cynopterus sphinx,44.71,98.99,120.0,1.5,2.0,,32.49,11.0,312.99,2,1,1,,,5648557.98
Chiroptera,Pteropodidae,Cynopterus,titthaecheilus,Cynopterus titthaecheilus,58.33,,,1.0,2.0,,,,,,1,,,,592527.99
Carnivora,Phocidae,Cystophora,cristata,Cystophora cristata,278896.81,2323.06,334.58,1.0,,420.0,9.5,21992.7,1262.74,6,2,2,,0.004822132,
Chiroptera,Emballonuridae,Cyttarops,alecto,Cyttarops alecto,5.3,,,,,,,,,,1,,,,581976.9
Rodentia,Echimyidae,Dactylomys,boliviensis,Dactylomys boliviensis,728.8,,,,,,,,,,,,,,642946.43
