population,generation,mean_fitness,sd_fitness,se_fitness,n
Ara - 4,40000,2.0213282274999997,0.07126056607100535,0.05038882949999989,2
Ara - 4,42000,1.514184286,0.11586741943348047,0.081930638,2
Ara - 4,44000,1.695453715,0.04054085289904345,0.028666711999999928,2
Ara - 4,46000,1.6776693735000001,0.04247957493717699,0.030037595499999955,2
Ara - 4,48000,1.9327931765000002,0.018451724473786242,0.01304733950000003,2
Ara - 4,50000,1.8083996275,0.027407691476921618,0.019380164500000015,2
Ara - 5,0,0.9906193775555556,0.04375246554845443,0.014584155182818144,9
Ara - 5,500,1.0774784225,0.040989884796980125,0.028984225500000016,2
Ara - 5,1000,1.129097803,0.01229700411783495,0.008695294999999992,2
Ara - 5,1500,1.244881091,0.031159504598481956,0.022033097,2
Ara - 5,2000,1.225086578,0.07705026235015904,0.05448276299999998,2
Ara - 5,2500,1.320768378,0.06431216360800636,0.045475566999999995,2
Ara - 5,3000,1.2653688170000001,0.01305433810790276,0.009230811000000005,2
Ara - 5,3500,1.2684655249999999,0.04412754739480876,0.03120288800000004,2
Ara - 5,4000,1.3602519415,0.03764345104332655,0.02661793950000002,2
Ara - 5,4500,1.3601295875,0.048330114219317696,0.03417455149999993,2
Ara - 5,5000,1.3145005495,0.01664705220369618,0.011771243500000028,2
Ara - 5,6000,1.261997358,0.07003845574341114,0.04952466699999991,2
Ara - 5,7000,1.3740731044999999,0.14433273617987705,0.1020586565,2
Ara - 5,8000,1.366961985,0.02963330512095877,0.02095391099999999,2
Ara - 5,9000,1.4768380460000001,0.09182084336831019,0.06492714099999997,2
Ara - 5,10000,1.3104768465,0.13057037912303998,0.09232720049999998,2
Ara - 5,11000,1.427149527,0.00493037274250124,0.0034862999999999422,2
Ara - 5,12000,1.4127532125,0.05498872664571725,0.03888290150000006,2
