population,generation,mean_fitness,sd_fitness,se_fitness,n
Ara - 2,18000,1.73849261,0.2035706923337007,0.14394621700000007,2
Ara - 2,19000,1.667425699,0.008143123716530993,0.005758058000000066,2
Ara - 2,20000,1.679822888,0.04949173297599518,0.03499594000000006,2
Ara - 2,22000,1.5925981795,0.09499248810382906,0.06716983249999997,2
Ara - 2,24000,1.6229830585,0.16428097366719174,0.11616419049999992,2
Ara - 2,26000,1.675480296,0.09396510791270586,0.06644336500000002,2
Ara - 2,28000,1.561479323,0.09323109289006797,0.06592433799999997,2
Ara - 2,30000,1.8693246755,0.02958187795186986,0.020917546499999995,2
Ara - 3,0,1.00761007325,0.08022813239056605,0.04011406619528302,4
Ara - 3,500,1.133742994,0.06705175832204568,0.04741275300000002,2
Ara - 3,1000,1.104394493,0.03434735127167816,0.02428724500000001,2
Ara - 3,1500,1.2335675215,0.013710891703981954,0.009695064500000017,2
Ara - 3,2000,1.2355677250000001,0.1190755402723067,0.08419912199999989,2
Ara - 3,2500,1.2474137609999998,0.059239518152703174,0.04188866499999999,2
Ara - 3,3000,1.2426399395,0.037345699691477344,0.026407397499999985,2
Ara - 3,3500,1.4241614280000001,0.1355945418018912,0.09587982000000005,2
Ara - 3,4000,1.2421893735,0.022004033780995816,0.015559201500000007,2
Ara - 3,4500,1.352771112,0.2340062836370207,0.16546742999999997,2
Ara - 3,5000,1.2810573879999998,0.08164282331322989,0.057730194000000006,2
Ara - 3,6000,1.3526950945,0.03295613635736312,0.023303507499999987,2
Ara - 3,7000,1.369908342,0.007273847651933387,0.005143386999999944,2
Ara - 3,8000,1.395487815,0.12104206221354274,0.08558966300000004,2
Ara - 3,9000,1.3509685995,0.24741584885726792,0.17494942450000003,2
Ara - 3,10000,1.5648191145,0.006821906716699068,0.004823816499999967,2
Ara - 3,11000,1.3390019734999998,0.14085395042156157,0.09959878349999994,2
Ara - 3,12000,1.524911009,0.003891181746811886,0.0027514809999999996,2
Ara - 3,13000,1.3699515789999999,0.12548939334325282,0.08873440100000006,2
Ara - 3,14000,1.4997262299999998,0.11358117633270398,0.08031401999999999,2
Ara - 3,15000,1.502245264,0.08143765769488223,0.057585120000000045,2
Ara - 3,16000,1.584112589,0.07483277265593097,0.05291476100000003,2
Ara - 3,17000,1.4419767220000002,0.00021336522858230917,0.0001508719999999686,2
Ara - 3,18000,1.621600456,0.22135172814685156,0.1565193079999999,2
Ara - 3,19000,1.4233480995,0.027853409165374793,0.01969533450000005,2
Ara - 3,20000,1.6036460395,0.05419534859458518,0.03832189850000001,2
Ara - 3,22000,1.4288116815,0.0009811028807217947,0.0006937445000000375,2
Ara - 3,24000,1.50141789,0.08038726612777865,0.056842380999999935,2
Ara - 3,26000,1.4907704494999998,0.3060024316792912,0.2163763945,2
Ara - 3,28000,1.4770214465,0.11711277660361291,0.08281123849999993,2
Ara - 3,30000,1.4517622795,0.10316824904095251,0.07295096850000005,2
Ara - 3,32000,1.6019223230000001,0.10314831357947044,0.07293687199999999,2
Ara - 4,0,0.94785971025,0.0177888829601338,0.0088944414800669,4
Ara - 4,500,1.058755547,0.02074825102848155,0.014671229000000062,2
Ara - 4,1000,1.0731561195000001,0.012790128366219086,0.009043986499999932,2
Ara - 4,1500,1.1977240944999998,0.036009536575611595,0.025462587499999967,2
Ara - 4,2000,1.2524265055,0.031293479413206704,0.02212783150000008,2
Ara - 4,2500,1.223954608,0.02935258655725477,0.020755412999999945,2
Ara - 4,3000,1.2787779559999999,0.049788057386359955,0.0352054730000001,2
Ara - 4,3500,1.2894725815,0.06692719085593792,0.04732467049999999,2
Ara - 4,4000,1.3759769335,0.1788103534912124,0.12643801349999995,2
Ara - 4,4500,1.1972876465,0.007021078897969492,0.0049646525,2
Ara - 4,5000,1.335587564,0.08916985054816712,0.06305260599999994,2
Ara - 4,6000,1.3174737265,0.01962000346923553,0.01387343750000003,2
Ara - 4,7000,1.4956861075,0.08198916350754822,0.057975093499999956,2
Ara - 4,8000,1.3989516430000002,0.24526230919322345,0.173426642,2
Ara - 4,9000,1.5238384535,0.017495388008075406,0.012371107499999923,2
Ara - 4,10000,1.6491206385,0.11208750730264926,0.07925783649999996,2
Ara - 4,11000,1.550404681,0.08545653444109494,0.06042689499999998,2
Ara - 4,12000,1.4102349914999999,0.02354263449724748,0.016647156500000038,2
Ara - 4,13000,1.506268244,0.05355114249711904,0.03786637599999998,2
Ara - 4,14000,1.4931910165,0.05483348559454835,0.0387731295,2
Ara - 4,15000,1.591915325,0.00600692867472213,0.004247539999999939,2
Ara - 4,16000,1.8558700435,0.41258211809318474,0.2917396134999999,2
Ara - 4,17000,1.570690099,0.10162070271681203,0.071856688,2
Ara - 4,18000,1.8495660175,0.5056726169419495,0.3575645365,2
Ara - 4,19000,1.595788145,0.3005896402850729,0.21254897300000006,2
Ara - 4,20000,1.729339359,0.08491894095434871,0.060046759,2
Ara - 4,22000,1.465359108,0.011482550041983047,0.008119389000000088,2
Ara - 4,24000,1.5095359335,0.029371862995216737,0.020769043499999973,2
Ara - 4,26000,1.812178357,0.22654764352731907,0.16019337499999997,2
Ara - 4,28000,1.5057402905,0.02015901541218489,0.014254576500000058,2
Ara - 4,30000,1.5144286359999999,0.10093798404850853,0.07137393299999993,2
Ara - 4,32000,1.725128606,0.23688628571617304,0.16750389899999993,2
Ara - 4,34000,1.738952528,0.08920627220425255,0.06307836,2
Ara - 4,36000,1.5575436704999999,0.01398925843053167,0.009891899500000023,2
Ara - 4,38000,1.7417353869999999,0.021777823957733283,0.01539924700000006,2
